model,trees,accuracy,false positives,false negatives,f1 score
ensemble(5 player)  , 5  , 79.487179  , 2.000000 , 3.000000 , 0.897959 
ensemble(5 player)  , 5  , 77.777778  , 2.000000 , 3.000000 , 0.897959 
ensemble(5 player)  , 5  , 77.777778  , 2.000000 , 4.000000 , 0.875000 
ensemble(5 player)  , 5  , 83.760684  , 9.000000 , 5.000000 , 0.740741 
ensemble(5 player)  , 5  , 76.923077  , 2.000000 , 4.000000 , 0.875000 
ensemble(5 player)  , 5  , 79.487179  , 1.000000 , 3.000000 , 0.916667 
ensemble(5 player)  , 5  , 76.923077  , 2.000000 , 4.000000 , 0.875000 
ensemble(5 player)  , 5  , 79.487179  , 2.000000 , 3.000000 , 0.897959 
ensemble(5 player)  , 5  , 77.777778  , 2.000000 , 4.000000 , 0.875000 
ensemble(5 player)  , 5  , 76.923077  , 2.000000 , 3.000000 , 0.897959 
