model,trees,accuracy,false positives,false negatives,f1 score
ensemble(15 player)  ,5,82.051282,9.0,13.0,0.521739
ensemble(15 player)  ,5,82.051282,2.0,4.0,0.875
ensemble(15 player)  ,5,86.324786,9.0,13.0,0.521739
ensemble(15 player)  ,5,82.051282,2.0,4.0,0.875
ensemble(15 player)  ,5,86.324786,13.0,22.0,0.146341
ensemble(15 player)  ,5,82.051282,9.0,13.0,0.521739
ensemble(15 player)  ,5,86.324786,9.0,13.0,0.521739
ensemble(15 player)  ,5,82.051282,2.0,8.0,0.772727
ensemble(15 player)  ,5,82.051282,2.0,11.0,0.682927
ensemble(15 player)  ,5,86.324786,2.0,11.0,0.682927
