model,trees,accuracy,false positives,false negatives,f1 score
ensemble(15 player)  , 5  , 82.051282  , 9.000000 , 13.000000 , 0.521739 
ensemble(15 player)  , 5  , 82.051282  , 2.000000 , 4.000000 , 0.875000 
ensemble(15 player)  , 5  , 86.324786  , 9.000000 , 13.000000 , 0.521739 
ensemble(15 player)  , 5  , 82.051282  , 2.000000 , 4.000000 , 0.875000 
ensemble(15 player)  , 5  , 86.324786  , 13.000000 , 22.000000 , 0.146341 
ensemble(15 player)  , 5  , 82.051282  , 9.000000 , 13.000000 , 0.521739 
ensemble(15 player)  , 5  , 86.324786  , 9.000000 , 13.000000 , 0.521739 
ensemble(15 player)  , 5  , 82.051282  , 2.000000 , 8.000000 , 0.772727 
ensemble(15 player)  , 5  , 82.051282  , 2.000000 , 11.000000 , 0.682927 
ensemble(15 player)  , 5  , 86.324786  , 2.000000 , 11.000000 , 0.682927 
