negative talks,positive talks,Negative length,Vote(Yes/No)
0,0,0,0
0,0,0,0
0,0,0,0
1,0,27,0
1,0,27,0
3,0,81,0
2,0,54,0
0,0,0,0
0,0,0,0
0,0,0,0
0,2,0,0
0,2,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,1,0,0
0,0,0,0
0,0,0,0
1,0,27,0
0,0,0,0
0,0,0,0
0,1,0,0
4,0,83,1
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,42,0
0,2,0,0
1,0,27,0
1,0,27,0
0,0,0,0
0,1,0,0
1,0,14,1
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,2,0,0
0,1,0,0
0,0,0,0
0,0,0,0
1,0,27,0
0,0,0,0
2,0,54,0
1,0,14,1
0,0,0,0
0,0,0,0
0,0,0,0
0,2,0,0
0,0,0,0
0,0,0,0
0,1,0,0
1,0,27,0
2,0,28,1
1,0,14,0
1,0,14,1
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,2,0,0
0,0,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,27,0
1,0,27,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,14,0
1,0,27,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
1,1,27,0
