model,trees,accuracy,time(s)
takeda  , 5  , 77.777778  , 0.218750  
ensemble  , 5  , 82.051282  , 0.218750  
takeda  , 5  , 77.777778  , 0.234375  
ensemble  , 5  , 80.341880  , 0.234375  
takeda  , 5  , 77.777778  , 0.187500  
ensemble  , 5  , 75.213675  , 0.187500  
takeda  , 5  , 79.487179  , 0.234375  
ensemble  , 5  , 79.487179  , 0.234375  
takeda  , 5  , 77.777778  , 0.234375  
ensemble  , 5  , 79.487179  , 0.234375  
takeda  , 5  , 79.487179  , 0.406250  
ensemble  , 5  , 75.213675  , 0.406250  
takeda  , 5  , 77.777778  , 0.406250  
ensemble  , 5  , 75.213675  , 0.406250  
takeda  , 5  , 79.487179  , 0.406250  
ensemble  , 5  , 79.487179  , 0.406250  
takeda  , 5  , 82.051282  , 0.390625  
ensemble  , 5  , 75.213675  , 0.390625  
takeda  , 5  , 77.777778  , 0.265625  
ensemble  , 5  , 82.051282  , 0.265625  
takeda  , 10  , 76.923077  , 0.390625  
ensemble  , 10  , 80.341880  , 0.390625  
takeda  , 10  , 79.487179  , 0.406250  
ensemble  , 10  , 79.487179  , 0.406250  
takeda  , 10  , 76.923077  , 0.468750  
ensemble  , 10  , 79.487179  , 0.468750  
takeda  , 10  , 77.777778  , 0.609375  
ensemble  , 10  , 80.341880  , 0.609375  
takeda  , 10  , 77.777778  , 0.578125  
ensemble  , 10  , 82.051282  , 0.578125  
takeda  , 10  , 79.487179  , 0.500000  
ensemble  , 10  , 79.487179  , 0.500000  
takeda  , 10  , 76.923077  , 0.296875  
ensemble  , 10  , 82.051282  , 0.296875  
takeda  , 10  , 77.777778  , 0.281250  
ensemble  , 10  , 79.487179  , 0.281250  
takeda  , 10  , 79.487179  , 0.343750  
ensemble  , 10  , 79.487179  , 0.343750  
takeda  , 10  , 77.777778  , 0.468750  
ensemble  , 10  , 80.341880  , 0.468750  
takeda  , 25  , 81.196581  , 0.781250  
ensemble  , 25  , 76.923077  , 0.781250  
takeda  , 25  , 76.923077  , 0.843750  
ensemble  , 25  , 79.487179  , 0.843750  
takeda  , 25  , 76.923077  , 0.906250  
ensemble  , 25  , 79.487179  , 0.906250  
takeda  , 25  , 76.923077  , 0.796875  
ensemble  , 25  , 79.487179  , 0.796875  
takeda  , 25  , 76.923077  , 0.734375  
ensemble  , 25  , 82.051282  , 0.734375  
takeda  , 25  , 79.487179  , 0.921875  
ensemble  , 25  , 80.341880  , 0.921875  
takeda  , 25  , 76.923077  , 0.890625  
ensemble  , 25  , 82.051282  , 0.890625  
takeda  , 25  , 77.777778  , 1.000000  
ensemble  , 25  , 86.324786  , 1.000000  
takeda  , 25  , 79.487179  , 0.812500  
ensemble  , 25  , 75.213675  , 0.812500  
takeda  , 25  , 76.923077  , 0.812500  
ensemble  , 25  , 75.213675  , 0.812500  
takeda  , 50  , 79.487179  , 1.515625  
ensemble  , 50  , 80.341880  , 1.515625  
takeda  , 50  , 77.777778  , 1.343750  
ensemble  , 50  , 79.487179  , 1.343750  
takeda  , 50  , 76.923077  , 1.265625  
ensemble  , 50  , 82.051282  , 1.265625  
takeda  , 50  , 77.777778  , 1.390625  
ensemble  , 50  , 79.487179  , 1.390625  
takeda  , 50  , 79.487179  , 1.359375  
ensemble  , 50  , 75.213675  , 1.359375  
takeda  , 50  , 79.487179  , 1.515625  
ensemble  , 50  , 80.341880  , 1.515625  
takeda  , 50  , 79.487179  , 1.406250  
ensemble  , 50  , 82.051282  , 1.406250  
takeda  , 50  , 79.487179  , 1.562500  
ensemble  , 50  , 79.487179  , 1.562500  
takeda  , 50  , 77.777778  , 1.640625  
ensemble  , 50  , 79.487179  , 1.640625  
takeda  , 50  , 77.777778  , 1.703125  
ensemble  , 50  , 80.341880  , 1.703125  
