negative talks,positive talks,Negative length,Vote(Yes/No)
4,0,98,0
8,0,180,1
5,0,110,1
9,0,207,0
9,0,207,0
6,0,150,1
6,0,150,1
4,0,96,1
5,0,96,1
7,0,194,1
5,0,110,1
5,0,110,1
0,7,0,1
6,0,138,1
6,0,138,1
5,0,137,0
5,0,109,1
5,0,109,1
6,0,112,1
6,0,112,1
0,9,0,1
0,9,0,1
3,0,70,0
0,9,0,1
9,0,207,1
8,0,178,1
0,9,0,1
9,0,196,1
8,0,193,1
7,0,165,1
8,0,206,1
7,0,165,1
7,0,165,1
7,0,165,1
6,0,154,1
3,0,56,1
7,0,137,1
8,0,204,1
0,9,0,1
6,0,136,1
5,0,111,1
4,0,83,1
4,0,83,1
7,0,164,1
0,7,0,1
4,0,96,1
4,0,96,1
6,0,150,1
6,0,150,1
9,0,218,1
9,0,218,1
5,0,97,1
6,0,111,1
4,0,84,1
4,0,83,0
5,0,123,1
5,0,97,1
5,0,97,1
4,0,83,1
4,0,83,1
4,0,97,1
4,0,97,1
2,0,54,0
6,0,124,0
4,0,82,1
4,0,96,1
6,0,110,1
8,0,165,1
4,0,109,0
7,0,178,1
6,0,151,1
9,0,180,1
6,0,153,1
6,0,153,1
5,0,98,1
5,0,125,1
5,0,110,1
8,0,166,1
3,0,70,1
3,0,70,1
6,0,153,1
6,0,152,1
6,0,152,1
6,0,151,1
7,0,151,1
7,0,151,1
3,0,83,0
3,0,83,0
9,0,249,1
7,0,194,1
9,0,219,1
9,0,232,1
9,0,232,1
8,0,165,1
7,0,181,1
6,0,125,1
7,0,179,1
9,0,207,1
9,0,218,1
7,0,125,1
7,0,125,1
6,0,124,1
4,0,95,1
4,0,95,1
5,0,124,1
0,9,0,1
9,0,167,1
